# wavelength_um,flux_ratio
2.440364e-01,5.559918e-12
2.442806e-01,5.512328e-12
2.445250e-01,5.479378e-12
2.447696e-01,5.427197e-12
2.450145e-01,5.392126e-12
2.452596e-01,5.355565e-12
2.455050e-01,5.277026e-12
2.457506e-01,5.168548e-12
2.459965e-01,5.137982e-12
2.462426e-01,5.135247e-12
2.464890e-01,5.094154e-12
2.467356e-01,5.044005e-12
2.469825e-01,5.029891e-12
2.472296e-01,4.945494e-12
2.474769e-01,4.910095e-12
2.477245e-01,4.856298e-12
2.479724e-01,4.789822e-12
2.482205e-01,4.774472e-12
2.484688e-01,4.694133e-12
2.487174e-01,4.664313e-12
2.489663e-01,4.611179e-12
2.492154e-01,4.564986e-12
2.494647e-01,4.547886e-12
2.497143e-01,4.491316e-12
2.499641e-01,4.415754e-12
2.502142e-01,4.390691e-12
2.504645e-01,4.407978e-12
2.507151e-01,4.402927e-12
2.509660e-01,4.392896e-12
2.512171e-01,4.366872e-12
2.514684e-01,4.274028e-12
2.517200e-01,4.204522e-12
2.519719e-01,4.152525e-12
2.522240e-01,4.127008e-12
2.524763e-01,4.153122e-12
2.527289e-01,4.126024e-12
2.529818e-01,4.116354e-12
2.532349e-01,4.050542e-12
2.534882e-01,4.007220e-12
2.537418e-01,3.965605e-12
2.539957e-01,3.938274e-12
2.542498e-01,3.954519e-12
2.545042e-01,3.991899e-12
2.547588e-01,3.979802e-12
2.550137e-01,3.873883e-12
2.552689e-01,3.761613e-12
2.555243e-01,3.742086e-12
2.557799e-01,3.778052e-12
2.560358e-01,3.822435e-12
2.562920e-01,3.867010e-12
2.565484e-01,3.914810e-12
2.568051e-01,3.911782e-12
2.570620e-01,3.848341e-12
2.573192e-01,3.824030e-12
2.575767e-01,3.841266e-12
2.578344e-01,3.844001e-12
2.580923e-01,3.825990e-12
2.583506e-01,3.736859e-12
2.586090e-01,3.633816e-12
2.588678e-01,3.620685e-12
2.591268e-01,3.693299e-12
2.593860e-01,3.811658e-12
2.596455e-01,3.905833e-12
2.599053e-01,3.910770e-12
2.601653e-01,3.812193e-12
2.604256e-01,3.705429e-12
2.606862e-01,3.646411e-12
2.609470e-01,3.690225e-12
2.612081e-01,3.784002e-12
2.614694e-01,3.851742e-12
2.617310e-01,3.851041e-12
2.619929e-01,3.807807e-12
2.622550e-01,3.733029e-12
2.625174e-01,3.712851e-12
2.627801e-01,3.785664e-12
2.630430e-01,3.901331e-12
2.633061e-01,3.956587e-12
2.635696e-01,3.946497e-12
2.638333e-01,3.874925e-12
2.640972e-01,3.793841e-12
2.643615e-01,3.756363e-12
2.646260e-01,3.780974e-12
2.648907e-01,3.898460e-12
2.651558e-01,3.968482e-12
2.654210e-01,3.910788e-12
2.656866e-01,3.881241e-12
2.659524e-01,3.905884e-12
2.662185e-01,3.984702e-12
2.664848e-01,4.015169e-12
2.667515e-01,4.080322e-12
2.670184e-01,4.186543e-12
2.672855e-01,4.171969e-12
2.675529e-01,4.065504e-12
2.678206e-01,4.078392e-12
2.680886e-01,4.171180e-12
2.683568e-01,4.290773e-12
2.686253e-01,4.387410e-12
2.688940e-01,4.443844e-12
2.691631e-01,4.487588e-12
2.694324e-01,4.432320e-12
2.697019e-01,4.344208e-12
2.699718e-01,4.421719e-12
2.702419e-01,4.546740e-12
2.705123e-01,4.650179e-12
2.707829e-01,4.738942e-12
2.710538e-01,4.768416e-12
2.713250e-01,4.809424e-12
2.715965e-01,4.823321e-12
2.718682e-01,4.799657e-12
2.721402e-01,4.887026e-12
2.724125e-01,5.008841e-12
2.726850e-01,5.076787e-12
2.729579e-01,5.158457e-12
2.732309e-01,5.173622e-12
2.735043e-01,5.262624e-12
2.737780e-01,5.405191e-12
2.740519e-01,5.561389e-12
2.743261e-01,5.678954e-12
2.746005e-01,5.654721e-12
2.748753e-01,5.617019e-12
2.751503e-01,5.708062e-12
2.754256e-01,5.852159e-12
2.757011e-01,5.996093e-12
2.759770e-01,6.092539e-12
2.762531e-01,6.085876e-12
2.765295e-01,6.215653e-12
2.768061e-01,6.330197e-12
2.770831e-01,6.405147e-12
2.773603e-01,6.450758e-12
2.776378e-01,6.576063e-12
2.779156e-01,6.815450e-12
2.781936e-01,6.954367e-12
2.784720e-01,7.044523e-12
2.787506e-01,7.164521e-12
2.790295e-01,7.346192e-12
2.793086e-01,7.526720e-12
2.795881e-01,7.587199e-12
2.798678e-01,7.637448e-12
2.801478e-01,7.901158e-12
2.804281e-01,8.257165e-12
2.807087e-01,8.385247e-12
2.809895e-01,8.437147e-12
2.812707e-01,8.635744e-12
2.815521e-01,9.095588e-12
2.818338e-01,9.386063e-12
2.821157e-01,9.474409e-12
2.823980e-01,9.557763e-12
2.826805e-01,9.852294e-12
2.829634e-01,1.006344e-11
2.832465e-01,1.003356e-11
2.835298e-01,1.010851e-11
2.838135e-01,1.065719e-11
2.840975e-01,1.124218e-11
2.843817e-01,1.151971e-11
2.846662e-01,1.167840e-11
2.849510e-01,1.195782e-11
2.852361e-01,1.248040e-11
2.855215e-01,1.294601e-11
2.858072e-01,1.297771e-11
2.860931e-01,1.314661e-11
2.863794e-01,1.353920e-11
2.866659e-01,1.395191e-11
2.869527e-01,1.425625e-11
2.872398e-01,1.448746e-11
2.875272e-01,1.505304e-11
2.878149e-01,1.592935e-11
2.881028e-01,1.655976e-11
2.883911e-01,1.699036e-11
2.886796e-01,1.736146e-11
2.889684e-01,1.780287e-11
2.892575e-01,1.836398e-11
2.895469e-01,1.898119e-11
2.898366e-01,1.961241e-11
2.901266e-01,2.002036e-11
2.904169e-01,2.049535e-11
2.907074e-01,2.098788e-11
2.909983e-01,2.166452e-11
2.912894e-01,2.253485e-11
2.915809e-01,2.357525e-11
2.918726e-01,2.468305e-11
2.921646e-01,2.536102e-11
2.924569e-01,2.586976e-11
